,text,classification,reclassification
509,"32. Stamens directly in front of corolla lobes PRIMULACEAE, p. 580 ",key,key
510,"Stamens alternating with corolla lobes, or ",morphology,key
511,twice their number 33 ,key,key
512,"33. Stamens 8 or 10 PYROLACEAE, p. 567 ",key,key
513,Stamens 4 or 5 34 ,key,key
514,34. Fruit with 4 nutlets; style from center of ,key,key
515,lobes of ovary; inflorescence usually ,key,key
516,"scorpioid BORAGINACEAE, p. 609 ",taxon_identification,key
517,Fruit a berry or capsule; style terminal 35 ,key,key
518,35. Ovary 1 -celled with seeds borne on wall ,key,key
519,of cell 36 ,key,key
520,Ovary 2- or 3-celled with seeds borne on ,key,key
521,axis in center of cell 37 ,key,key
522,"36. Flowers in cymose clusters, ",key,key
523,"leaves opposite GENTIANACEAE, p. 589 ",key,key
524,"Flowers scorpioid or solitary in leaf axils, ",morphology,morphology
525,"leaves alternate or basal HYDROPHYLLACEAE, p. 605 ",morphology,morphology
526,"37. Ovary 3-celled; fruit a capsule POLEMONIACEAE, p. 600 ",key,key
527,"Ovary 2-celled; fruit a berry or a capsule SOLANACEAE, p. 631 ",morphology,morphology
528,Genera and species ,taxon_identification,taxon_identification
529,Division: PTERIDOPHYTA — ferns and fern allies ,taxon_identification,taxon_identification
530,OPHIOGLOSSACEAE — adders-tongue family ,taxon_identification,taxon_identification
531,Botrychium grape fern ,taxon_identification,taxon_identification
532,"Plants from fleshy roots with sheath at base of frond (leaf) stalk, containing the following year's bud. Fertile frond bearing the spore-bearing bodies ",morphology,morphology
533,spike-like or raceme-like. Sterile frond leaf-like and lobed. ,morphology,morphology
534,"1. Sterile frond oblong, ovate, or somewhat ",key,key
535,"triangular-ovate, longer than wide, usually glabrous 2 ",key,key
536,"Sterile frond triangular, wider than long, ",morphology,key
537,"pubescent, at least when young 6 ",key,key
538,"2. Sterile fronds simple, trilobed, or pinnate; ",key,key
539,pinnae without midrib 3 ,key,key
540,Sterile fronds bipinnate; pinnae with conspicuous midrib 4 ,key,key
541,"3. Sterile frond petiolate, simple, trilobed, or ",morphology,key
542,pinnate with 2 or 3 pairs of pinnae B. simplex ,key,key
543,"Sterile frond sessile, pinnate with 3-9 ",morphology,key
544,pairs of pinnae B. lunaria ,key,key
545,"4. Pinnae triangular to rhomboid-ovate, ",key,key
546,about as long as wide B. boreale ,key,key
547,"Pinnae lanceolate to oblong, longer than ",morphology,key
548,wide 5 ,key,key
549,"5. Pinnae lanceolate to linear-lanceolate, ",key,key
550,acute at apex; midrib pronounced B. lanceolatum ,key,key
551,"Pinnae ovate to oblong, obtuse at apex; ",morphology,key
552,midrib not pronounced B. matricariifolium ,key,key
553,"6. Sterile frond petiolate, 2- or 3-pinnate, ",key,key
554,fleshy; pinnae obtuse at apex B. multifidum ,key,key
555,"Sterile frond sessile, 3- or 4-pinnate, not ",morphology,key
556,fleshy; pinnae acute at apex B. virginianum ,key,key
557,Botrychium boreale Milde var. obtusilobum (Rupr.) Brown ,taxon_identification,taxon_identification
558,"Plants to 30 cm high. Leaf inserted near middle of stem, 10-20 cm long, ",morphology,morphology
559,"subsessile, triangular-ovate, bipinnate; pinnae ovate, acute, pinnatifid. Rare; ",morphology,morphology
560,in grassland and open slopes near tree line; southern Rocky Mountains. ,habitat,habitat
561,Botrychium lanceolatum (Gmel.) Angst. ,taxon_identification,taxon_identification
562,"Plants to 30 cm high. Leaf inserted at base of fertile frond, to 25 cm long, ",key,key
563,"subsessile, triangular-ovate, bipinnate; pinnae lanceolate to linear-lanceolate, ",morphology,morphology
564,"serrate or pinnatifid, with midrib pronounced. Rare; in moist grassland; southern Rocky Mountains, Cypress Hills. ",habitat,habitat
565,Botrychium lunaria (L.) Swartz. moon fern ,taxon_identification,taxon_identification
566,"Plants to 30 cm high. Leaf inserted near middle of stem, 5-20 cm long, ",morphology,morphology
567,"sessile, oblong, pinnate, with 3-9 pairs of fan-shaped pinnae without midrib. ",morphology,morphology
568,Rare; in grassland and open areas; throughout the Prairie Provinces. ,habitat,habitat
569,Botrychium matricariifolium Braun. chamomile-leaved grape fern ,taxon_identification,taxon_identification
570,"Plants to 30 cm high. Leaf inserted above middle of stem, 5-20 cm long, ",morphology,morphology
571,"subsessile, oblong to ovate, bipinnate; pinnae oblong to ovate, with midrib. ",morphology,morphology
572,"Rare; in moist grassland, muskeg, wooded shores; throughout the Prairie ",habitat,habitat
573,Provinces. ,morphology,morphology
574,Botrychium multifidum (Gmel.) Rupr. thick-leaved grape fern ,taxon_identification,taxon_identification
575,"Plants to 30 cm high. Leaf inserted near base of stipe, 5-20 cm long, triangular, wider than long, bi- or tri-pinnate; pinnae lanceolate, with midrib pronounced. Rare; in moist meadows, margins of woods; Boreal forest. ",morphology,morphology
576,Botrychium simplex E. Hitchc. GRAPE FERN ,taxon_identification,taxon_identification
577,"Plants 10-15 cm high. Leaf inserted near middle of stem, 5-8 cm long; ",morphology,morphology
578,"stipe 2-A cm long; pinnae subovate, cuneate at base. Rare; in meadows, margins of woods; Parklands and Boreal forest. ",morphology,morphology
579,Botrychium virginianum (L.) Swartz. (Fig. 10) Virginia grape fern ,taxon_identification,taxon_identification
580,"Plants to 80 cm high. Leaf inserted near middle of stem, 20-50 cm long, ",morphology,morphology
581,"triangular, wider than long, sessile, 3- or 4-pinnate; pinnae and segments ",morphology,morphology
582,"oblong to ovate, dentate, with midrib pronounced. Rare; in moist woods; ",morphology,morphology
583,"Boreal forest, Cypress Hills, Riding Mountain. ",habitat,habitat
584,(Fig. 10 overleaf) ,taxon_identification,taxon_identification
585,*» \t HEHBAHIUH OF THK RE3KAJ ,morphology,morphology
586,"JWIFT G8RSEHT , 3A.JK . ",morphology,morphology
587,;TK„>: 3otrf<shiaa '• ,taxon_identification,taxon_identification
588,r]p^Tl.HOVW I ,morphology,morphology
589,w ,habitat,habitat
590,"Fig. 10. Virginia grape fern, Botrychium virginianum (L.) Swartz. ",taxon_identification,taxon_identification
591,OSMUNDACEAE — royal fern family ,taxon_identification,taxon_identification
592,Osmunda royal fern ,taxon_identification,taxon_identification
593,Osmunda claytoniana L. interrupted fern ,taxon_identification,taxon_identification
594,Plants with stout rhizomes. Fronds 50-100 cm high; stipes shorter than ,morphology,morphology
595,"blade, 2-5 mm thick, tomentose when young; blades pinnate-pinnatifid; pinnae in 15-20 pairs, alternate or subopposite. Fertile pinnae 1-5 pairs, 3-6 cm ",morphology,morphology
596,"long, 2 cm wide, in middle of blade, bipinnate, with segments oblong, soon ",morphology,morphology
597,"withering; sterile pinnae oblong-lanceolate, to 12 cm long, 3 cm wide, acute, ",morphology,morphology
598,"deeply pinnatifid, with segments in 10-15 pairs. Sporangia about 0.5 mm wide, ",morphology,morphology
599,dark brown. Southeastern boreal forest. ,morphology,morphology
600,POLYPODIACEAE — fern family ,taxon_identification,taxon_identification
601,"Ferns with fronds spirally coiled in the bud, and usually bearing green ",morphology,morphology
602,leaf-like fronds. Spores usually borne in little clusters (sori) and usually under ,key,key
603,a membranous cover (indusium). ,morphology,key
604,1. Sori enclosed in modified globular segments of fertile fronds; fronds becoming blackish in age 2 ,key,key
605,Sori exposed or covered by the reflexed ,morphology,key
606,margin of the fertile fronds 3 ,key,key
607,2. Fronds scattered along rhizome; sterile ,key,key
608,fronds once pinnatifid; fertile fronds ,key,key
609,bipinnate Onoclea ,taxon_identification,key
610,Fronds tufted on a caudex; sterile fronds ,key,key
611,surrounding fertile ones Matteuccia ,morphology,key
612,"3. Sori marginal or appearing marginal, covered by margin or marginal lobes 4 ",key,key
613,Sori not marginal 8 ,key,key
614,4. Sterile and fertile fronds dissimilar; fertile ,key,key
615,ones longer than sterile ones Cryptogramma ,morphology,key
616,Sterile and fertile fronds not dissimilar 5 ,key,key
617,"5. Sori appearing marginal, but borne on ",key,key
618,veins of reflexed marginal lobes Adiantum ,key,key
619,"Sori marginal or submarginal, but not ",morphology,key
620,borne on reflexed lobes 6 ,key,key
621,"6. Rhizome without scales, hairy only; ",key,key
622,fronds and stipes (stalks) to 60 cm high Pteridium ,key,key
623,Rhizomes scaly; fronds and stipes to 25 ,key,key
624,cm high 7 ,key,key
625,"7. Stipes wiry, purplish brown; scales of rhizome rusty brown; blades with 6-12 ",key,key
626,pairs of pinnae Pellaea ,key,key
627,Stipes soft and hairy or glabrate; scales of ,key,key
628,rhizome orange; blades 3-pinnate Cheilanthes ,key,key
629,"8. Indusium absent; blades pinnatisect, with ",key,key
630,"segments linear-oblong, denticulate Polypodium ",key,key
631,Indusium present or absent; blades bipinnatifid to tripinnate 9 ,key,key
632,9. Indusium attached by its base under sporangia; veins of fronds not reaching ,key,key
633,margins Woodsia ,key,key
634,Indusium laterally attached or absent; ,key,key
635,veins reaching margins 10 ,key,key
636,10. Indusium linearly attached 1 1 ,key,key
637,Indusium attached at a point or absent 12 ,key,key
638,"11. Indusia not crossing veins; scales of rhizomes with short, broad cells; plants ",key,key
639,"small, up to 20 cm high Asplenium ",key,key
640,Indusia usually crossing veins; scales of ,key,key
641,"rhizomes with long, narrow cells; ",morphology,morphology
642,"plants large, up to 100 cm high Athyhum ",morphology,morphology
643,"12. Indusium ovate or oblong; fronds delicate, light green Cystopteris ",key,key
644,"Indusium orbicular, reniform, or absent 13 ",key,key
645,13. Indusium attached at its center; fronds ,key,key
646,"leathery, with pinnae spinulosetoothed Polystichum ",key,key
647,Indusium attached laterally by a deep ,morphology,key
648,notch or absent; fronds not leathery Dryoptehs ,key,key
649,Adiantum maidenhair ,taxon_identification,taxon_identification
650,Adiantum pedatum L. maidenhair fern ,taxon_identification,taxon_identification
651,"Plants with rhizomes 2-5 mm thick. Stipes reddish brown, forked above ",morphology,morphology
652,"into two branches, each bearing 3-5 pinnae on upper side. Pinnae 15-25 cm ",key,key
653,"long, 3-4 cm wide; pinnules 15-20 pairs, thin, glaucous, oblong, with outer ",morphology,morphology
654,"margins incised. Sori oblong-lunate, covered by the reflexed margin of pinnule ",morphology,morphology
655,lobe. Rare; southern Rocky Mountains. ,habitat,habitat
656,Asplenium spleenwort ,taxon_identification,taxon_identification
657,Asplenium viride Huds. green spleenwort ,taxon_identification,taxon_identification
658,"Plants with a short, thin rhizome 1 mm thick. Stipes short, brownish at ",morphology,morphology
659,"base. Fronds delicate, 5-15 cm long; pinnae 9-16 pairs, opposite to subopposite at base, alternate above, 3-8 mm long, 2-A mm wide, with apex obtuse, ",morphology,morphology
660,"base cuneate, and margins toothed. Sori elongate; indusia hyaline, attached at ",morphology,morphology
661,one side. Rare; on limestone cliffs; southern Rocky Mountains. ,habitat,habitat
662,Athyrium spleenwort ,taxon_identification,taxon_identification
663,Indusium absent; blades tripinnate-pinnatifid A. alpestre ,key,key
664,Indusium present; blades mostly subbipinnate A. filix-femina ,key,key
665,Athyrium alpestre (Hoppe) Rylands alpine spleenwort ,taxon_identification,taxon_identification
666,"Plants with a stout short-creeping rhizome, covered with old stipe bases. ",morphology,morphology
667,"Fronds 30-50 cm long, tufted, with stipe erect, shorter than blade; blade lanceolate, bi- or tri-pinnate; pinnae 20-25 pairs, ascending, oblong-lanceolate; ",morphology,morphology
668,"pinnules in 15 or more pairs, deeply toothed or lobed. Sori round; indusium ",key,key
669,lacking. Rare; in alpine meadows; southern Rocky Mountains. ,habitat,habitat
670,Athyrium filix-femina (L.) Roth LADY fern ,taxon_identification,taxon_identification
671,"Plants with thick creeping to suberect rhizomes, covered with scales. ",morphology,morphology
672,"Fronds 40-100 cm long, tufted, with stipe stout, scaly at base, shorter than, to ",morphology,morphology
673,"as long as, blade; blade lanceolate to ovate-lanceolate in outline, sparingly ",morphology,morphology
674,"scaly, glabrous or somewhat glandular, bipinnate or tripinnate; pinnae 20-30 ",morphology,morphology
675,"pairs, ascending, linear-lanceolate; pinnules 1-2 cm long, serrate to deeply ",morphology,morphology
676,pinnate-lobed. Sori elongate; indusia ciliate. Two varieties distinguished: var. ,key,key
677,"filix-femina, with stipe about as long as blade; basal scales to 6 mm long, ",key,key
678,"blackish; indusium hooked at apex, short ciliate; southeastern Boreal forest; ",morphology,key
679,"and var. cyclosorum (Ledeb.) Moore, with stipe about one-third as long as ",key,key
680,"blade; basal scales 10-12 mm long, pale brown; indusium often horseshoeshaped, long ciliate; Rocky Mountains. ",key,key
681,Cheilanthes lip fern ,taxon_identification,taxon_identification
682,Cheilanthes feei Moore lip fern ,taxon_identification,taxon_identification
683,Plants from short branching rhizomes with abundant scales. Fronds 4—15 ,key,key
684,"cm long; stipe as long as, or shorter than, blade, purplish, long pilose above; ",morphology,morphology
685,"blade linear-oblong, 1-3 cm wide, tripinnate; pinnae 7-15 pairs, subopposite, ",morphology,morphology
686,"distant below, ascending, ovate to oblong; pinnules 3-6 pairs, diminishing in ",morphology,morphology
687,"size toward tip, opposite to subopposite; segments 2 or 3 pairs, ovate to suborbicular, sessile, lobate or incised, sparsely pubescent above, densely brownish ",morphology,morphology
688,"pubescent below. Sori marginal, covered by the unmodified margin. Rare; on ",morphology,morphology
689,limestone rocks and cliffs; southern Rocky Mountains. ,habitat,habitat
690,Cryptogramma rock brake ,habitat,habitat
691,Rhizome short; fronds densely tufted C. crispa ,key,key
692,"Rhizome slender, long-creeping; fronds solitary or few together, distant C. stelleri ",morphology,morphology
693,Cryptogramma crispa (L.) R. Br. parsley fern ,taxon_identification,taxon_identification
694,Plants with short rhizomes and numerous fibrous roots and scales. Fronds ,morphology,morphology
695,"densely tufted, glabrous. Sterile fronds erect to spreading; stipe straw-colored, ",morphology,morphology
696,"to 7 cm long; blade 5-7 cm long, ovate; pinnae 4-6 pairs, alternate or the lowest ones subopposite; pinnules 2-4 pairs; segments elliptic, with bases cuneate ",morphology,morphology
697,"and margins dentate. Fertile frond erect, to 20 cm high; stipe 1.5-2.0 times as ",morphology,morphology
698,"long as blade; pinnation similar to that of sterile fronds, but segments linear, ",morphology,morphology
699,with margins revolute. Sori on vein tips. On outcrops of Precambrian rocks in ,key,key
700,Boreal forest; Rocky Mountains. In Canada these plants are usually distinguishable from the Eurasian var. crispa as var. acrostichoides (R. Br.) Clarke ,habitat,key
701,(Fig. 1 1) with thicker fronds and paler scales. ,key,key
702,Cryptogramma stelleri (Gmel.) Prantl rock brake ,taxon_identification,taxon_identification
703,"Plants with scaly, pilose, creeping rhizomes. Glabrous fronds scattered ",morphology,morphology
704,"along the rhizome. Sterile fronds erect; stipe brownish at base, 6-9 cm long; ",morphology,morphology
705,"blade ovate, 3-6 cm long; pinnae thin, 5-6 pairs, alternate or sometimes opposite, with 1-3 segments. Fertile fronds to 20 cm high; stipes 12-15 cm; blades ",morphology,morphology
706,"bipinnate or sometimes tripinnate; segments linear-lanceolate, entire, margins ",morphology,morphology
707,"revolute. Sori on vein tips. Rare; on shaded, usually limestone rock; southern ",key,key
708,Rocky Mountains. ,habitat,habitat
709,Cystopteris bladder fern ,taxon_identification,taxon_identification
710,Stipes much shorter than blade; blades much ,key,key
711,narrower at base than long C.fragilis ,morphology,key
712,Stipes often more than twice as long as blade; ,key,key
713,blades as wide at base as long C montana ,key,key
714,Cystopteris fragilis (L.) Bernh. (Fig. 12) fragile fern ,taxon_identification,taxon_identification
715,Plants with creeping unbranched rhizomes. Fronds solitary or in small ,morphology,morphology
716,"tufts, 10-30 cm long; stipes 3-12 cm long; blade 7-18 cm long, light green, ",morphology,morphology
717,"ovate or ovate-lanceolate, bipinnate to tripinnate, glabrous, or with a few hairs ",morphology,morphology
718,"at base of pinnae; pinnae in 9-15 pairs, ascending, subopposite to alternate; ",morphology,morphology
719,"segments ovate, margins dentate. Sori on veins; indusium hood-like. Fairly ",morphology,morphology
